source,target,url
"Galena derivatives, with Pb",Freieslebenite,http://www.mindat.org/min-1606.html
"Galena derivatives, with Pb",Marrite,http://www.mindat.org/min-2579.html
"Galena derivatives, with Pb",Cannizzarite,http://www.mindat.org/min-883.html
"Galena derivatives, with Pb",Wittite,http://www.mindat.org/min-4301.html
"Galena derivatives, with Pb",Junoite,http://www.mindat.org/min-2124.html
"Galena derivatives, with Pb",Neyite,http://www.mindat.org/min-2888.html
"Galena derivatives, with Pb",Nordstromite,http://www.mindat.org/min-2931.html
"Galena derivatives, with Pb",Nuffieldite,http://www.mindat.org/min-2941.html
"Galena derivatives, with Pb",Proudite,http://www.mindat.org/min-3293.html
"Galena derivatives, with Pb",Weibullite,http://www.mindat.org/min-4257.html
"Galena derivatives, with Pb",Felbertalite,http://www.mindat.org/min-10999.html
"Galena derivatives, with Pb",Rouxelite,http://www.mindat.org/min-26393.html
"Galena derivatives, with Pb",Angelaite,http://www.mindat.org/min-26701.html
"Galena derivatives, with Pb",Cuproneyite,http://www.mindat.org/min-39287.html
"Galena derivatives, with Pb",Geocronite,http://www.mindat.org/min-1674.html
"Galena derivatives, with Pb",Jordanite,http://www.mindat.org/min-2113.html
"Galena derivatives, with Pb",Kirkiite,http://www.mindat.org/min-2216.html
"Galena derivatives, with Pb",Tsugaruite,http://www.mindat.org/min-7344.html
"Galena derivatives, with Pb",Pillaite,http://www.mindat.org/min-10318.html
"Galena derivatives, with Pb",Zinkenite,http://www.mindat.org/min-4417.html
"Galena derivatives, with Pb",Scainiite,http://www.mindat.org/min-7016.html
"Galena derivatives, with Pb",Pellouxite,http://www.mindat.org/min-25602.html
"Galena derivatives, with Pb",Tubulite,http://www.mindat.org/min-42737.html
"Galena derivatives, with Pb",Chovanite,http://www.mindat.org/min-39970.html
"Galena derivatives, with Pb",Aschamalmite,http://www.mindat.org/min-386.html
"Galena derivatives, with Pb",Bursaite,http://www.mindat.org/min-807.html
"Galena derivatives, with Pb",Eskimoite,http://www.mindat.org/min-1410.html
"Galena derivatives, with Pb",Fizelyite,http://www.mindat.org/min-1554.html
"Galena derivatives, with Pb",Gustavite,http://www.mindat.org/min-1782.html
"Galena derivatives, with Pb",Lillianite,http://www.mindat.org/min-2400.html
"Galena derivatives, with Pb",Ourayite,http://www.mindat.org/min-3046.html
"Galena derivatives, with Pb",Ramdohrite,http://www.mindat.org/min-3355.html
"Galena derivatives, with Pb",Roshchinite,http://www.mindat.org/min-3457.html
"Galena derivatives, with Pb",Schirmerite,http://www.mindat.org/min-3567.html
"Galena derivatives, with Pb",Treasurite,http://www.mindat.org/min-4008.html
"Galena derivatives, with Pb",Uchucchacuaite,http://www.mindat.org/min-4075.html
"Galena derivatives, with Pb",Ustarasite,http://www.mindat.org/min-4123.html
"Galena derivatives, with Pb",Vikingite,http://www.mindat.org/min-4179.html
"Galena derivatives, with Pb",Xilingolite,http://www.mindat.org/min-4336.html
"Galena derivatives, with Pb",Heyrovskyite,http://www.mindat.org/min-6993.html
"Galena derivatives, with Pb",UM1988-05-S:AgBiCuHgPb,http://www.mindat.org/min-10291.html
"Galena derivatives, with Pb",UM1988-06-S:AgBiCuHgPb,http://www.mindat.org/min-10292.html
"Galena derivatives, with Pb",Andorite IV,http://www.mindat.org/min-11345.html
"Galena derivatives, with Pb",Gratonite,http://www.mindat.org/min-1741.html
"Galena derivatives, with Pb",Marrucciite,http://www.mindat.org/min-29260.html
"Galena derivatives, with Pb",Vurroite,http://www.mindat.org/min-27393.html
Sulfosalts of PbS archetype,Galena derivatives with Tl,http://www.mindat.org/strunz.php?a=2&b=J&c=C
"Galena derivatives, with Tl",Ellisite,http://www.mindat.org/min-1368.html
"Galena derivatives, with Tl",Gillulyite,http://www.mindat.org/min-1694.html
"Galena derivatives, with Tl",Galenobismutite,http://www.mindat.org/min-1642.html
"Galena derivatives, with Tl",Nakaseite,http://www.mindat.org/min-10340.html
Sulfides and Sulfosalts,"Sulfarsenates, Sulfantimonates",http://www.mindat.org/strunz.php?a=2&b=K
"Sulfarsenates, Sulfantimonates","Sulfarsenates with (As	Sb)S4_tetrahedra",http://www.mindat.org/strunz.php?a=2&b=K&c=A
"Sulfarsenates with (As,Sb)S4_tetrahedra",Enargite,http://www.mindat.org/min-1380.html
"Sulfarsenates with (As,Sb)S4_tetrahedra",Petrukite,http://www.mindat.org/min-3178.html
"Sulfarsenates with (As,Sb)S4_tetrahedra",Briartite,http://www.mindat.org/min-773.html
"Sulfarsenates with (As,Sb)S4_tetrahedra",Famatinite,http://www.mindat.org/min-1451.html
"Sulfarsenates with (As,Sb)S4_tetrahedra",Luzonite,http://www.mindat.org/min-2461.html
"Sulfarsenates with (As,Sb)S4_tetrahedra",Permingeatite,http://www.mindat.org/min-3165.html
"Sulfarsenates with (As,Sb)S4_tetrahedra",Barquillite,http://www.mindat.org/min-6820.html
"Sulfarsenates with (As,Sb)S4_tetrahedra",Fangite,http://www.mindat.org/min-1452.html
"Sulfarsenates, Sulfantimonates",Sulfarsenates with additional S,http://www.mindat.org/strunz.php?a=2&b=K&c=B
Sulfarsenates with additional S,Billingsleyite,http://www.mindat.org/min-675.html
Sulfides and Sulfosalts,Unclassified Sulfosalts,http://www.mindat.org/strunz.php?a=2&b=L
Unclassified Sulfosalts,Without essential Pb,http://www.mindat.org/strunz.php?a=2&b=L&c=A
Without essential Pb,Dervillite,http://www.mindat.org/min-1265.html
Without essential Pb,Daomanite,http://www.mindat.org/min-1222.html
Without essential Pb,Vaughanite,http://www.mindat.org/min-4162.html
Without essential Pb,Criddleite,http://www.mindat.org/min-1154.html
Without essential Pb,Fettelite,http://www.mindat.org/min-1543.html
Without essential Pb,Chameanite,http://www.mindat.org/min-965.html
Without essential Pb,Arcubisite,http://www.mindat.org/min-318.html
Without essential Pb,Mgriite,http://www.mindat.org/min-2701.html
Without essential Pb,Benleonardite,http://www.mindat.org/min-817.html
Without essential Pb,Tsnigriite,http://www.mindat.org/min-4038.html
Without essential Pb,Borovskite,http://www.mindat.org/min-730.html
Without essential Pb,Jonassonite,http://www.mindat.org/min-27482.html
Unclassified Sulfosalts,With essential Pb,http://www.mindat.org/strunz.php?a=2&b=L&c=B
With essential Pb,Miharaite,http://www.mindat.org/min-2708.html
With essential Pb,Ardaite,http://www.mindat.org/min-320.html
With essential Pb,Launayite,http://www.mindat.org/min-2341.html
With essential Pb,Madocite,http://www.mindat.org/min-2517.html
With essential Pb,Playfairite,http://www.mindat.org/min-3239.html
With essential Pb,Sorbyite,http://www.mindat.org/min-3715.html
With essential Pb,Sterryite,http://www.mindat.org/min-3768.html
With essential Pb,Larosite,http://www.mindat.org/min-2334.html
With essential Pb,Petrovicite,http://www.mindat.org/min-3176.html
With essential Pb,Mazzettiite,http://www.mindat.org/min-27205.html,,
With essential Pb,Crerarite,http://www.mindat.org/min-6891.html,,
Sulfides and Sulfosalt,Oxysulfosalts,http://www.mindat.org/strunz.php?a=2&b=M,,
Oxysulfosalts,Oxysulfosalts of Alkalies and Alkali Earths,http://www.mindat.org/strunz.php?a=2&b=M&c=A,,
Oxysulfosalts of Alkalies and Alkali Earths,Cetineite,http://www.mindat.org/min-943.html,,
Oxysulfosalts of Alkalies and Alkali Earths,Ottensite,http://www.mindat.org/min-29259.html,,
Oxysulfosalts of Alkalies and Alkali Earths,Sarabauite,http://www.mindat.org/min-3532.html,,
Sulfides and Sulfosalts,"Sulfides of arsenic, alkalies; sulfides with halide, oxide, hydroxide, H2O",http://www.mindat.org/strunz.php?a=2&b=F,,
"Sulfides of arsenic, alkalies; sulfides with halide, oxide, hydroxide, H2O","With As, (Sb), S",http://www.mindat.org/strunz.php?a=2&b=F&c=A,,
"With As, (Sb), S",Duranusite,http://www.mindat.org/min-1333.html,,
"With As, (Sb), S",Dimorphite,http://www.mindat.org/min-1292.html,,
"With As, (Sb), S",Pararealgar,http://www.mindat.org/min-3107.html,,
"With As, (Sb), S",Realgar,http://www.mindat.org/min-3375.html,,
"With As, (Sb), S",UM1970-19-S:As,http://www.mindat.org/min-39028.html,,
"With As, (Sb), S",UM1970-18-S:As,http://www.mindat.org/min-39034.html,,
"With As, (Sb), S",Alacranite,http://www.mindat.org/min-91.html,,
"With As, (Sb), S",Uzonite,http://www.mindat.org/min-4128.html,,
"With As, (Sb), S",Laphamite,http://www.mindat.org/min-2328.html,,
"With As, (Sb), S",Orpiment,http://www.mindat.org/min-3021.html,,
"With As, (Sb), S",Getchellite,http://www.mindat.org/min-1686.html,,
"With As, (Sb), S",Wakabayashilite,http://www.mindat.org/min-4232.html,,
"Sulfides of arsenic, alkalies; sulfides with halide, oxide, hydroxide, H2O","With alkalies (without Cl, etc.)",http://www.mindat.org/strunz.php?a=2&b=F&c=B,,
"With alkalies (without Cl, etc.)",Caswellsilverite,http://www.mindat.org/min-918.html,,
"With alkalies (without Cl, etc.)",Schollhornite,http://www.mindat.org/min-3861.html,,
"With alkalies (without Cl, etc.)",Cronusite,http://www.mindat.org/min-11188.html,,
"With alkalies (without Cl, etc.)",Chvilevaite,http://www.mindat.org/min-1050.html,,
"With alkalies (without Cl, etc.)",Orickite,http://www.mindat.org/min-3016.html,,
"With alkalies (without Cl, etc.)",Rasvumite,http://www.mindat.org/min-3369.html,,
"With alkalies (without Cl, etc.)",Pautovite,http://www.mindat.org/min-27200.html,,
"With alkalies (without Cl, etc.)",Colimaite,http://www.mindat.org/min-35575.html,,
"Sulfides of arsenic, alkalies; sulfides with halide, oxide, hydroxide, H2O","With Cl, Br, I (halide-sulfides)",http://www.mindat.org/strunz.php?a=2&b=F&c=C,,
"With Cl, Br, I (halide-sulfides)",Djerfisherite,http://www.mindat.org/min-1299.html,,
"With Cl, Br, I (halide-sulfides)",Thalfenisite,http://www.mindat.org/min-3932.html,,
"With Cl, Br, I (halide-sulfides)",Owensite,http://www.mindat.org/min-7211.html,,
"With Cl, Br, I (halide-sulfides)",Bartonite,http://www.mindat.org/min-544.html,,
"With Cl, Br, I (halide-sulfides)",Chlorbartonite,http://www.mindat.org/min-27207.html,,
"With Cl, Br, I (halide-sulfides)",Arzakite,http://www.mindat.org/min-380.html,,
"With Cl, Br, I (halide-sulfides)",Corderoite,http://www.mindat.org/min-1127.html,,
"With Cl, Br, I (halide-sulfides)",Grechishchevite,http://www.mindat.org/min-1744.html,,
"With Cl, Br, I (halide-sulfides)",Lavrentievite,http://www.mindat.org/min-2350.html,,
"With Cl, Br, I (halide-sulfides)",Radtkeite,http://www.mindat.org/min-3350.html,,
"With Cl, Br, I (halide-sulfides)",Kenhsuite,http://www.mindat.org/min-7131.html,,
"With Cl, Br, I (halide-sulfides)",Capgaronnite,http://www.mindat.org/min-886.html,,
"With Cl, Br, I (halide-sulfides)",Perroudite,http://www.mindat.org/min-3169.html,,
"With Cl, Br, I (halide-sulfides)",Iltisite,http://www.mindat.org/min-7008.html,,
"With Cl, Br, I (halide-sulfides)",Demicheleite-(Br),http://www.mindat.org/min-32198.html,,
"With Cl, Br, I (halide-sulfides)",Demicheleite-(Cl),http://www.mindat.org/min-38694.html,,
"Sulfides of arsenic, alkalies; sulfides with halide, oxide, hydroxide, H2O","With O, OH, H2O",http://www.mindat.org/strunz.php?a=2&b=F&c=D,,
"With O, OH, H2O",UKI-2004-(OS:BiCuPb),http://www.mindat.org/min-29126.html,,
"With O, OH, H2O",Kermesite,http://www.mindat.org/min-2187.html,,
"With O, OH, H2O",Viaeneite,http://www.mindat.org/min-7353.html,,
"With O, OH, H2O",Erdite,http://www.mindat.org/min-1394.html,,
"With O, OH, H2O",Coyoteite,http://www.mindat.org/min-1146.html,,
"With O, OH, H2O",Haapalaite,http://www.mindat.org/min-1788.html,,
"With O, OH, H2O",Valleriite,http://www.mindat.org/min-4136.html,,
"With O, OH, H2O",Yushkinite,http://www.mindat.org/min-4379.html,,
"With O, OH, H2O",Tochilinite,http://www.mindat.org/min-3986.html,,
"With O, OH, H2O",Wilhelmramsayite,http://www.mindat.org/min-27204.html,,
"With O, OH, H2O",Vyalsovite,http://www.mindat.org/min-4219.html,,
"With O, OH, H2O",Bazhenovite,http://www.mindat.org/min-584.html,,
Sulfides and Sulfosalts,Alloys,http://www.mindat.org/strunz.php?a=2&b=A,,
"Alloys	""Alloys of metalloids with Cu","Alloys of metalloids with Cu, Ag, Au",http://www.mindat.org/strunz.php?a=2&b=A&c=A,,
"Alloys of metalloids with Cu, Ag, Au",Algodonite,http://www.mindat.org/min-114.html,,
"Alloys of metalloids with Cu, Ag, Au",Domeykite,http://www.mindat.org/min-1306.html,,
