source,target,url
"Tellurites with additional anions, without H2O",Mackayite,http://www.mindat.org/min-2511.html
"Tellurites with additional anions, without H2O",Mroseite,http://www.mindat.org/min-2802.html
"Tellurites with additional anions, without H2O",Pingguite,http://www.mindat.org/min-7237.html
"Tellurites with additional anions, without H2O",Tlapallite,http://www.mindat.org/min-3983.html
"Tellurites with additional anions, without H2O",Girdite,http://www.mindat.org/min-1699.html
"Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates","Tellurites without additional anions, with H2O",http://www.mindat.org/strunz.php?a=4&b=J&c=M
"Tellurites without additional anions, with H2O",Keystoneite,http://www.mindat.org/min-2192.html
"Tellurites without additional anions, with H2O",Kinichilite,http://www.mindat.org/min-2212.html
"Tellurites without additional anions, with H2O",Zemannite,http://www.mindat.org/min-4392.html
"Tellurites without additional anions, with H2O",Blakeite,http://www.mindat.org/min-693.html
"Tellurites without additional anions, with H2O",Emmonsite,http://www.mindat.org/min-1377.html
"Tellurites without additional anions, with H2O",Graemite,http://www.mindat.org/min-1734.html
"Tellurites without additional anions, with H2O",Teineite,http://www.mindat.org/min-3902.html
"Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates","Tellurites with additional anions, with H2O",http://www.mindat.org/strunz.php?a=4&b=J&c=N
"Tellurites with additional anions, with H2O",Sonoraite,http://www.mindat.org/min-3712.html
"Tellurites with additional anions, with H2O",Poughite,http://www.mindat.org/min-3273.html
"Tellurites with additional anions, with H2O",Cesbronite,http://www.mindat.org/min-940.html
"Tellurites with additional anions, with H2O",Eztlite,http://www.mindat.org/min-1432.html
"Tellurites with additional anions, with H2O",Oboyerite,http://www.mindat.org/min-3055.html
"Tellurites with additional anions, with H2O",Juabite,http://www.mindat.org/min-7122.html
Oxides,Iodates: Trigonal [IO3] pyramids (mostly),http://www.mindat.org/strunz.php?a=4&b=K
Iodates: Trigonal [IO3] pyramids (mostly),"Iodates without additional anions, without H2O",http://www.mindat.org/strunz.php?a=4&b=K&c=A
"Iodates without additional anions, without H2O",Lautarite,http://www.mindat.org/min-2346.html
Iodates: Trigonal [IO3] pyramids (mostly),"Iodates with additional anions, without H2O",http://www.mindat.org/strunz.php?a=4&b=K&c=B
"Iodates with additional anions, without H2O",Salesite,http://www.mindat.org/min-3509.html
"Iodates with additional anions, without H2O",Schwartzembergite,http://www.mindat.org/min-3592.html
"Iodates with additional anions, without H2O",Seeligerite,http://www.mindat.org/min-3603.html
Iodates: Trigonal [IO3] pyramids (mostly),"Iodates without additional anions, with H2O",http://www.mindat.org/strunz.php?a=4&b=K&c=C
"Iodates without additional anions, with H2O",Bellingerite,http://www.mindat.org/min-612.html
"Iodates without additional anions, with H2O",Bruggenite,http://www.mindat.org/min-769.html
Iodates: Trigonal [IO3] pyramids (mostly),"Iodates with additional anions, with H2O",http://www.mindat.org/strunz.php?a=4&b=K&c=D
"Iodates with additional anions, with H2O",Dietzeite,http://www.mindat.org/min-1290.html
"Iodates with additional anions, with H2O",George-ericksenite,http://www.mindat.org/min-6968.html
