source,target,url,,
Hydroxides (without V or U),Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,http://www.mindat.org/strunz.php?a=4&b=F&c=L,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Trebeurdenite,http://www.mindat.org/min-43293.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Woodallite,http://www.mindat.org/min-10319.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Iowaite,http://www.mindat.org/min-2038.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Jamborite,http://www.mindat.org/min-2070.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Meixnerite,http://www.mindat.org/min-2628.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Muskoxite,http://www.mindat.org/min-2818.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Fougerite,http://www.mindat.org/min-27543.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Hydrocalumite,http://www.mindat.org/min-1968.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Kuzelite,http://www.mindat.org/min-7147.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Aurorite,http://www.mindat.org/min-428.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Chalcophanite,http://www.mindat.org/min-947.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Ernienickelite,http://www.mindat.org/min-1402.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Jianshuiite,http://www.mindat.org/min-2094.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Woodruffite,http://www.mindat.org/min-4312.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Asbolane,http://www.mindat.org/min-384.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Buserite,http://www.mindat.org/min-9779.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Rancieite,http://www.mindat.org/min-3360.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Takanelite,http://www.mindat.org/min-3871.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Birnessite,http://www.mindat.org/min-680.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Cianciulliite,http://www.mindat.org/min-1051.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Jensenite,http://www.mindat.org/min-2088.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Leisingite,http://www.mindat.org/min-7151.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Akdalaite,http://www.mindat.org/min-69.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Cafetite,http://www.mindat.org/min-850.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Mourite,http://www.mindat.org/min-2797.html,,
Hydroxides with H2O +- (OH); sheets of edge-sharing octahedra,Deloryite,http://www.mindat.org/min-1254.html,,
Hydroxides (without V or U),Hydroxides with H2O +- (OH); unclassified,http://www.mindat.org/strunz.php?a=4&b=F&c=M,,
Hydroxides with H2O +- (OH); unclassified,Franconite,http://www.mindat.org/min-1595.html,,
Hydroxides with H2O +- (OH); unclassified,Hochelagaite,http://www.mindat.org/min-1912.html,,
Hydroxides with H2O +- (OH); unclassified,Ternovite,http://www.mindat.org/min-7331.html,,
Hydroxides with H2O +- (OH); unclassified,Belyankinite,http://www.mindat.org/min-619.html,,
Hydroxides with H2O +- (OH); unclassified,Gerasimovskit,http://www.mindat.org/min-1678.html,,
Hydroxides with H2O +- (OH); unclassified,Manganbelyankinite,http://www.mindat.org/min-2492.html,,
Hydroxides with H2O +- (OH); unclassified,Silhydrite,http://www.mindat.org/min-3658.html,,
Hydroxides with H2O +- (OH); unclassified,Cuzticite,http://www.mindat.org/min-1199.html,,
Hydroxides (without V or U),Hydroxides with H2Oã(OH); frameworks of corner and/or face-sharing octahedra,http://www.mindat.org/strunz.php?a=4&b=F&c=N,,
Hydroxides with H2Oã(OH); frameworks of corner and/or face-sharing octahedra,Menezesite,http://www.mindat.org/min-27607.html,,
Oxides,Uranyl Hydroxides,http://www.mindat.org/strunz.php?a=4&b=G,,
Uranyl Hydroxides,Without additional cations,http://www.mindat.org/strunz.php?a=4&b=G&c=A,,
Without additional cations,Metaschoepite,http://www.mindat.org/min-2684.html,,
Without additional cations,Paraschoepite,http://www.mindat.org/min-3110.html,,
Without additional cations,Schoepite,http://www.mindat.org/min-3574.html,,
Without additional cations,Paulscherrerite,http://www.mindat.org/min-38700.html,,
Without additional cations,Ianthinite,http://www.mindat.org/min-2000.html,,
Without additional cations,Metastudtite,http://www.mindat.org/min-2687.html,,
Without additional cations,Studtite,http://www.mindat.org/min-3815.html,,
Uranyl Hydroxides,"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",http://www.mindat.org/strunz.php?a=4&b=G&c=B,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Agrinierite,http://www.mindat.org/min-58.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Compreignacite,http://www.mindat.org/min-1117.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Rameauite,http://www.mindat.org/min-3356.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Becquerelite,http://www.mindat.org/min-597.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Billietite,http://www.mindat.org/min-674.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Protasite,http://www.mindat.org/min-3289.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Richetite,http://www.mindat.org/min-3415.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Bauranoite,http://www.mindat.org/min-574.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Calciouranoite,http://www.mindat.org/min-828.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Metacalciouranoite,http://www.mindat.org/min-2669.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Fourmarierite,http://www.mindat.org/min-1587.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Wolsendorfite,http://www.mindat.org/min-4308.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Masuyite,http://www.mindat.org/min-2589.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Metavandendriesscheite,http://www.mindat.org/min-2691.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Vandendriesscheite,http://www.mindat.org/min-4145.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Vandenbrandeite,http://www.mindat.org/min-4144.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Sayrite,http://www.mindat.org/min-3545.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Curite,http://www.mindat.org/min-1197.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Iriginite,http://www.mindat.org/min-2046.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Uranosphaerite,http://www.mindat.org/min-4112.html,,
"With additional cations (K, Ca, Ba, Pb, etc.); with mainly UO2(O,OH)5_pentagonal polyhedra",Holfertite,http://www.mindat.org/min-11514.html,,
Uranyl Hydroxides,"With additional cations; with mainly UO2(O,OH)6_hexagonal polyhedra",http://www.mindat.org/strunz.php?a=4&b=G&c=C,,
"With additional cations; with mainly UO2(O,OH)6_hexagonal polyhedra",Clarkeite,http://www.mindat.org/min-1059.html,,
"With additional cations; with mainly UO2(O,OH)6_hexagonal polyhedra",Umohoite,http://www.mindat.org/min-4093.html,,
"With additional cations; with mainly UO2(O,OH)6_hexagonal polyhedra",Spriggite,http://www.mindat.org/min-25685.html,,
Oxides,"V[5,6] Vanadates",http://www.mindat.org/strunz.php?a=4&b=H,,
"V[5,6] Vanadates",Uranyl Sorovanodates,http://www.mindat.org/strunz.php?a=4&b=H&c=B,,
Uranyl Sorovanodates,Carnotite,http://www.mindat.org/min-907.html,,
Uranyl Sorovanodates,Margaritasite,http://www.mindat.org/min-2572.html,,
Uranyl Sorovanodates,Sengierite,http://www.mindat.org/min-3620.html,,
Uranyl Sorovanodates,Curienite,http://www.mindat.org/min-1196.html,,
Uranyl Sorovanodates,Francevillite,http://www.mindat.org/min-1589.html,,
Uranyl Sorovanodates,Fritzscheite,http://www.mindat.org/min-1611.html,,
Uranyl Sorovanodates,Metavanuralite,http://www.mindat.org/min-2693.html,,
Uranyl Sorovanodates,Vanuralite,http://www.mindat.org/min-4152.html,,
Uranyl Sorovanodates,Metatyuyamunite,http://www.mindat.org/min-2690.html,,
Uranyl Sorovanodates,Tyuyamunite,http://www.mindat.org/min-4072.html,,
Uranyl Sorovanodates,Strelkinite,http://www.mindat.org/min-3800.html,,
Uranyl Sorovanodates,Uvanite,http://www.mindat.org/min-4124.html,,
Uranyl Sorovanodates,Rauvite,http://www.mindat.org/min-3372.html,,
"V[5,6] Vanadates",[6]-Sorovanadates,http://www.mindat.org/strunz.php?a=4&b=H&c=C,,
[6]-Sorovanadates,Pascoite,http://www.mindat.org/min-3130.html,,
[6]-Sorovanadates,Lasalite,http://www.mindat.org/min-31587.html,,
[6]-Sorovanadates,Magnesiopascoite,http://www.mindat.org/min-32206.html,,
[6]-Sorovanadates,Hummerite,http://www.mindat.org/min-1948.html,,
[6]-Sorovanadates,Sherwoodite,http://www.mindat.org/min-3637.html,,
"V[5,6] Vanadates",Inovanadates,http://www.mindat.org/strunz.php?a=4&b=H&c=D,,
Inovanadates,Rossite,http://www.mindat.org/min-3460.html,,
Inovanadates,Metarossite,http://www.mindat.org/min-2682.html,,
Inovanadates,Munirite,http://www.mindat.org/min-2810.html,,
Inovanadates,Metamunirite,http://www.mindat.org/min-2680.html,,
Inovanadates,Dickthomssenite,http://www.mindat.org/min-11216.html,,
Inovanadates,Answermetite,http://www.mindat.org/min-26443.html,,
"V[5,6] Vanadates",Phyllovanadates,http://www.mindat.org/strunz.php?a=4&b=H&c=E,,
Phyllovanadates,Melanovanadite,http://www.mindat.org/min-2622.html,,
Phyllovanadates,Shcherbinaite,http://www.mindat.org/min-3636.html,,
Phyllovanadates,Hewettite,http://www.mindat.org/min-1890.html,,
Phyllovanadates,Metahewettite,http://www.mindat.org/min-2674.html,,
Phyllovanadates,Bariandite,http://www.mindat.org/min-522.html,,
Phyllovanadates,Bokite,http://www.mindat.org/min-709.html,,
Phyllovanadates,Corvusite,http://www.mindat.org/min-1138.html,,
Phyllovanadates,Fernandinite,http://www.mindat.org/min-1483.html,,
Phyllovanadates,Straczekite,http://www.mindat.org/min-3796.html,,
Phyllovanadates,Haggite,http://www.mindat.org/min-1796.html,,
Phyllovanadates,Doloresite,http://www.mindat.org/min-1305.html,,
Phyllovanadates,Duttonite,http://www.mindat.org/min-1335.html,,
Phyllovanadates,Cavoite,http://www.mindat.org/min-26440.html,,
"V[5,6] Vanadates",Tektovanadates,http://www.mindat.org/strunz.php?a=4&b=H&c=F,,
