source,target,url
Nitrides,Unnamed (Gallium nitride),http://www.mindat.org/min-39630.html
"Metallic Carbides, Silicides, Nitrides, and Phosphides",Phosphides,http://www.mindat.org/strunz.php?a=1&b=B&c=D
Phosphides,Schreibersite,http://www.mindat.org/min-3582.html
Phosphides,Nickelphosphide,http://www.mindat.org/min-7191.html
Phosphides,Barringerite,http://www.mindat.org/min-537.html
Phosphides,Monipite,http://www.mindat.org/min-32290.html
Phosphides,Florenskyite,http://www.mindat.org/min-6947.html
Phosphides,Allabogdanite,http://www.mindat.org/min-11008.html
Phosphides,Andreyivanovite,http://www.mindat.org/min-29095.html
Phosphides,Melliniite,http://www.mindat.org/min-28998.html
Elements,Metalloids and Nonmetals,http://www.mindat.org/strunz.php?a=1&b=C
Metalloids and Nonmetals,Arsenic group elements,http://www.mindat.org/strunz.php?a=1&b=C&c=A
Arsenic group elements,Antimony,http://www.mindat.org/min-262.html
Arsenic group elements,Arsenic,http://www.mindat.org/min-357.html
Arsenic group elements,Bismuth,http://www.mindat.org/min-684.html
Arsenic group elements,Stibarsen,http://www.mindat.org/min-3775.html
Arsenic group elements,Arsenolamprite,http://www.mindat.org/min-312.html
Arsenic group elements,Pararsenolamprite,http://www.mindat.org/min-10994.html
Arsenic group elements,Paradocrasite,http://www.mindat.org/min-3087.html
Metalloids and Nonmetals,Carbon-silicon family,http://www.mindat.org/strunz.php?a=1&b=C&c=B
Carbon-silicon family,Chaoite,http://www.mindat.org/min-1207.html
Carbon-silicon family,Graphite,http://www.mindat.org/min-1740.html
Carbon-silicon family,Fullerite,http://www.mindat.org/min-6959.html
Carbon-silicon family,Diamond,http://www.mindat.org/min-1282.html
Carbon-silicon family,Lonsdaleite,http://www.mindat.org/min-2431.html
Carbon-silicon family,Silicon,http://www.mindat.org/min-3659.html
Metalloids and Nonmetals,Sulfur-selenium-iodine,http://www.mindat.org/strunz.php?a=1&b=C&c=C
Sulfur-selenium-iodine,Rosickyite,http://www.mindat.org/min-3458.html
Sulfur-selenium-iodine,Sulphur,http://www.mindat.org/min-3826.html
Sulfur-selenium-iodine,Selenium,http://www.mindat.org/min-3611.html
Sulfur-selenium-iodine,Tellurium,http://www.mindat.org/min-3906.html
Elements,Nonmetallic Carbides and Nitrides,http://www.mindat.org/strunz.php?a=1&b=D
Nonmetallic Carbides and Nitrides,Nonmetallic carbides,http://www.mindat.org/strunz.php?a=1&b=D&c=A
Nonmetallic carbides,Moissanite,http://www.mindat.org/min-2743.html
Nonmetallic Carbides and Nitrides,Nonmetallic nitrides,http://www.mindat.org/strunz.php?a=1&b=D&c=B
Nonmetallic nitrides,Nierite,http://www.mindat.org/min-7193.html
Nonmetallic nitrides,Sinoite,http://www.mindat.org/min-3676.html
